iter	Passed	Remaining
0	0	718
1	1	587
2	1	562
3	2	555
4	2	543
5	3	540
6	3	539
7	4	536
8	4	534
9	5	531
10	5	533
11	6	528
12	6	526
13	7	525
14	8	527
15	8	527
16	9	526
17	9	525
18	10	524
19	10	522
20	11	522
21	11	520
22	12	518
23	12	516
24	13	516
25	13	515
26	14	513
27	14	512
28	15	510
29	15	506
30	16	504
31	16	504
32	17	503
33	17	502
34	18	501
35	18	501
36	19	501
37	19	498
38	20	495
39	20	494
40	21	494
41	21	493
42	22	493
43	22	493
44	23	491
45	23	491
46	24	490
47	24	490
48	25	489
49	25	490
50	26	490
51	26	489
52	27	489
53	27	489
54	28	488
55	28	488
56	29	487
57	30	487
58	30	486
59	31	485
60	31	485
61	32	484
62	32	483
63	33	483
64	33	483
65	34	482
66	34	483
67	35	484
68	35	482
69	36	482
70	36	482
71	37	481
72	37	481
73	38	480
74	38	476
75	39	476
76	39	475
77	40	475
78	40	474
79	41	474
80	41	473
81	42	472
82	42	472
83	43	471
84	43	471
85	44	471
86	44	470
87	45	471
88	45	470
89	46	469
90	47	469
91	47	469
92	48	468
93	48	467
94	49	467
95	49	467
96	50	466
97	50	466
98	51	466
99	51	465
100	52	466
101	52	466
102	53	464
103	53	464
104	54	463
105	54	461
106	55	461
107	55	460
108	56	460
109	56	458
110	57	457
111	57	457
112	58	456
113	58	456
114	59	455
115	59	454
116	60	454
117	60	454
118	61	453
119	61	453
120	62	452
121	62	451
122	63	451
123	63	451
124	64	450
125	64	450
126	65	449
127	65	449
128	66	448
129	66	447
130	67	447
131	67	446
132	68	445
133	68	445
134	69	444
135	69	444
136	70	443
137	70	443
138	71	442
139	72	442
140	72	442
141	73	441
142	73	441
143	74	440
144	74	439
145	75	439
146	75	438
147	76	438
148	76	437
149	77	437
150	77	436
151	78	436
152	78	435
153	79	434
154	79	434
155	80	432
156	80	432
157	81	432
158	81	431
159	82	431
160	82	430
161	83	430
162	83	429
163	84	429
164	84	428
165	85	427
166	85	427
167	86	426
168	86	426
169	87	425
170	87	425
171	88	425
172	88	425
173	89	425
174	90	425
175	90	425
176	91	425
177	92	425
178	92	424
179	93	424
180	93	423
181	94	423
182	94	423
183	95	422
184	95	421
185	96	421
186	96	420
187	97	420
188	97	420
189	98	420
190	99	419
191	99	419
192	100	419
193	100	418
194	101	418
195	101	417
196	102	417
197	102	416
198	103	416
199	103	415
200	104	415
201	104	414
202	105	414
203	106	413
204	106	413
205	107	413
206	107	412
207	108	412
208	108	412
209	109	411
210	109	411
211	110	410
212	111	410
213	111	409
214	112	409
215	112	408
216	113	407
217	113	407
218	114	406
219	114	406
220	115	405
221	115	406
222	117	407
223	118	408
224	118	408
225	119	408
226	119	407
227	120	407
228	120	406
229	121	406
230	121	405
231	122	405
232	122	404
233	123	404
234	123	403
235	124	402
236	124	402
237	125	401
238	125	401
239	126	400
240	127	400
241	127	399
242	128	399
243	128	398
244	129	397
245	129	397
246	130	396
247	130	396
248	131	395
249	131	394
250	132	394
251	132	393
252	133	393
253	133	392
254	134	391
255	134	391
256	135	390
257	135	390
258	136	389
259	136	389
260	137	388
261	137	388
262	138	387
263	138	386
264	139	386
265	139	385
266	140	385
267	140	384
268	141	384
269	141	383
270	142	382
271	142	382
272	143	381
273	143	381
274	144	380
275	144	380
276	145	379
277	145	378
278	146	378
279	146	377
280	147	377
281	147	376
282	148	375
283	148	375
284	149	374
285	149	374
286	150	373
287	150	373
288	151	372
289	151	371
290	152	371
291	152	370
292	153	370
293	154	369
294	154	369
295	155	368
296	155	368
297	156	367
298	156	367
299	157	366
300	157	365
301	158	365
302	158	364
303	159	364
304	159	363
305	160	362
306	160	362
307	161	361
308	161	361
309	162	360
310	162	360
311	163	359
312	163	358
313	164	358
314	164	357
315	165	357
316	165	356
317	165	355
318	166	355
319	166	354
320	167	354
321	167	353
322	168	353
323	168	352
324	169	351
325	169	351
326	170	350
327	170	350
328	171	349
329	171	349
330	172	348
331	173	348
332	173	347
333	174	347
334	174	346
335	175	345
336	175	345
337	176	344
338	176	344
339	177	343
340	177	343
341	178	342
342	178	342
343	179	341
344	179	340
345	180	340
346	180	339
347	181	339
348	181	338
349	182	338
350	182	337
351	183	337
352	183	336
353	184	336
354	184	335
355	185	335
356	185	334
357	186	334
358	186	333
359	187	333
360	187	332
361	188	331
362	188	331
363	189	331
364	190	330
365	190	330
366	191	329
367	191	329
368	192	328
369	192	327
370	193	327
371	193	326
372	194	326
373	194	325
374	195	325
375	195	324
376	196	324
377	196	323
378	197	323
379	197	322
380	198	322
381	198	321
382	199	321
383	199	320
384	200	320
385	200	319
386	201	319
387	201	318
388	202	317
389	203	317
390	203	317
391	204	316
392	204	316
393	205	315
394	205	314
395	206	314
396	206	313
397	207	313
398	207	312
399	208	312
400	208	311
401	209	311
402	209	310
403	210	310
404	210	309
405	211	308
406	211	308
407	212	307
408	212	307
409	213	306
410	213	306
411	214	305
412	214	304
413	215	304
414	215	303
415	216	303
416	216	302
417	217	302
418	217	301
419	218	301
420	218	300
421	219	300
422	219	299
423	220	299
424	220	298
425	221	297
426	221	297
427	222	296
428	222	296
429	223	295
430	223	295
431	224	294
432	224	294
433	225	293
434	225	293
435	226	292
436	226	291
437	227	291
438	227	290
439	228	290
440	228	289
441	229	289
442	229	288
443	230	288
444	230	287
445	231	287
446	231	286
447	232	285
448	232	285
449	233	284
450	233	284
451	234	283
452	234	283
453	235	282
454	235	282
455	236	281
456	236	281
457	237	280
458	237	280
459	238	279
460	238	279
461	239	278
462	239	278
463	240	277
464	240	276
465	241	276
466	241	275
467	242	275
468	242	274
469	243	274
470	243	273
471	244	273
472	244	272
473	245	272
474	245	271
475	246	271
476	246	270
477	247	270
478	247	269
479	248	269
480	248	268
481	249	268
482	249	267
483	250	267
484	251	266
485	251	266
486	252	265
487	252	264
488	253	264
489	253	263
490	254	263
491	254	262
492	255	262
493	255	261
494	256	261
495	256	260
496	257	260
497	257	259
498	258	259
499	258	258
500	259	257
501	259	257
502	260	256
503	260	256
504	261	255
505	261	255
506	261	254
507	262	254
508	262	253
509	263	253
510	263	252
511	264	252
512	264	251
513	265	251
514	266	250
515	266	250
516	267	249
517	267	248
518	268	248
519	268	247
520	269	247
521	269	246
522	270	246
523	270	245
524	271	245
525	271	244
526	272	244
527	272	243
528	273	243
529	273	242
530	274	242
531	274	241
532	275	241
533	275	240
534	276	240
535	276	239
536	277	239
537	277	238
538	278	238
539	279	237
540	279	237
541	280	236
542	280	236
543	281	235
544	281	235
545	282	234
546	282	234
547	283	233
548	283	233
549	284	232
550	285	232
551	285	231
552	286	231
553	286	230
554	287	230
555	287	229
556	288	229
557	288	228
558	289	228
559	289	227
560	290	227
561	290	226
562	291	226
563	291	225
564	292	225
565	292	224
566	293	224
567	293	223
568	294	223
569	294	222
570	295	221
571	295	221
572	296	220
573	297	220
574	297	219
575	298	219
576	298	218
577	299	218
578	299	217
579	300	217
580	300	216
581	301	216
582	301	215
583	302	215
584	302	214
585	303	214
586	303	213
587	304	213
588	304	212
589	305	212
590	305	211
591	306	211
592	306	210
593	307	209
594	307	209
595	308	208
596	308	208
597	309	207
598	309	207
599	310	206
600	310	206
601	311	205
602	311	205
603	312	204
604	312	204
605	313	203
606	313	203
607	314	202
608	315	202
609	315	201
610	316	201
611	316	200
612	317	200
613	317	199
614	318	199
615	318	198
616	319	198
617	319	197
618	320	197
619	320	196
620	321	196
621	321	195
622	322	195
623	322	194
624	323	193
625	323	193
626	324	192
627	324	192
628	325	191
629	325	191
630	326	190
631	326	190
632	327	189
633	327	189
634	328	188
635	328	188
636	329	187
637	329	187
638	330	186
639	330	186
640	331	185
641	331	185
642	332	184
643	333	184
644	333	183
645	334	183
646	334	182
647	335	182
648	335	181
649	336	181
650	336	180
651	337	180
652	338	179
653	338	179
654	339	178
655	339	178
656	340	177
657	340	177
658	341	176
659	341	176
660	342	175
661	342	174
662	343	174
663	343	174
664	344	173
665	345	173
666	345	172
667	346	172
668	346	171
669	347	170
670	347	170
671	348	169
672	348	169
673	349	168
674	349	168
675	350	167
676	350	167
677	351	166
678	352	166
679	352	165
680	353	165
681	353	164
682	354	164
683	354	163
684	355	163
685	355	162
686	356	162
687	356	161
688	357	161
689	357	160
690	358	160
691	358	159
692	359	159
693	359	158
694	360	158
695	360	157
696	361	157
697	361	156
698	362	156
699	362	155
700	363	155
701	363	154
702	364	153
703	365	153
704	365	152
705	366	152
706	366	151
707	367	151
708	367	150
709	368	150
710	368	149
711	369	149
712	369	148
713	370	148
714	370	147
715	371	147
716	371	146
717	372	146
718	372	145
719	373	145
720	373	144
721	374	144
722	374	143
723	375	143
724	375	142
725	376	142
726	376	141
727	377	140
728	377	140
729	378	139
730	378	139
731	379	138
732	380	138
733	380	137
734	381	137
735	381	136
736	382	136
737	382	135
738	383	135
739	383	134
740	384	134
741	384	133
742	385	133
743	385	132
744	386	132
745	386	131
746	387	131
747	387	130
748	388	130
749	388	129
750	389	129
751	389	128
752	390	128
753	390	127
754	391	126
755	391	126
756	392	125
757	392	125
758	393	124
759	393	124
760	394	123
761	394	123
762	395	122
763	395	122
764	396	121
765	396	121
766	397	120
767	398	120
768	398	119
769	399	119
770	399	118
771	400	118
772	400	117
773	401	117
774	401	116
775	402	116
776	403	115
777	403	115
778	404	114
779	404	114
780	405	113
781	405	113
782	406	112
783	406	112
784	407	111
785	407	110
786	408	110
787	408	109
788	409	109
789	409	108
790	410	108
791	410	107
792	411	107
793	411	106
794	412	106
795	412	105
796	413	105
797	413	104
798	414	104
799	414	103
800	415	103
801	415	102
802	416	102
803	416	101
804	417	101
805	417	100
806	418	100
807	418	99
808	419	99
809	420	98
810	420	98
811	421	97
812	422	97
813	422	96
814	423	96
815	423	95
816	424	95
817	425	94
818	425	94
