iter	Passed	Remaining
0	85	85741
1	86	43112
2	86	28897
3	87	21790
4	88	17520
5	88	14666
6	89	12637
7	89	11114
8	90	9932
9	90	8984
10	91	8212
11	91	7566
12	92	7019
13	93	6550
14	93	6144
15	94	5789
16	94	5474
17	95	5194
18	95	4943
19	96	4716
20	96	4513
21	97	4328
22	97	4157
23	98	4001
24	98	3858
25	99	3725
26	99	3602
27	100	3488
28	101	3385
29	101	3282
30	102	3190
31	102	3104
32	103	3024
33	103	2948
34	104	2876
35	104	2809
36	105	2744
37	105	2681
38	106	2621
39	106	2566
40	107	2514
41	108	2463
42	108	2418
43	109	2374
44	109	2331
45	110	2289
46	111	2251
47	111	2213
48	112	2176
49	112	2141
50	113	2107
51	113	2078
52	114	2047
53	115	2018
54	115	1989
55	116	1960
56	116	1933
57	117	1906
58	117	1881
59	118	1856
60	119	1832
61	119	1809
62	120	1790
63	121	1770
64	121	1750
65	122	1731
66	122	1711
67	123	1692
68	123	1670
69	124	1652
70	124	1634
71	126	1629
72	127	1616
73	127	1599
74	128	1580
75	128	1565
76	129	1550
77	129	1535
78	130	1521
79	131	1506
80	131	1492
81	132	1479
82	132	1465
83	133	1452
84	133	1440
85	134	1427
86	134	1415
87	135	1404
88	136	1392
89	136	1380
90	137	1369
91	137	1358
92	138	1348
93	138	1338
94	139	1330
95	140	1320
96	140	1310
97	141	1300
98	141	1291
99	142	1284
100	143	1277
101	144	1268
102	144	1258
103	145	1249
104	145	1240
105	146	1231
106	146	1223
107	147	1215
108	147	1207
109	148	1198
110	148	1190
111	149	1183
112	149	1175
113	150	1169
114	150	1161
115	151	1154
116	152	1147
117	152	1141
118	153	1134
119	153	1127
120	154	1119
121	154	1112
122	155	1106
123	155	1100
124	156	1094
125	156	1088
126	157	1082
127	158	1076
128	158	1071
129	159	1065
130	159	1060
131	160	1054
132	160	1048
133	161	1044
134	162	1038
135	162	1033
136	163	1028
137	163	1023
138	164	1018
139	165	1014
140	165	1009
141	166	1004
142	166	999
143	167	994
144	167	990
145	168	985
146	168	980
147	169	975
148	170	971
149	170	966
150	171	961
151	171	956
152	172	952
153	172	947
154	173	943
155	173	938
156	173	934
157	174	929
158	175	925
159	175	921
160	176	917
161	176	913
162	177	909
163	177	905
164	178	901
165	178	897
166	179	893
167	179	889
168	180	885
169	180	882
170	181	878
171	181	874
172	182	871
173	182	867
174	183	863
175	183	860
176	184	856
177	184	853
178	185	849
179	185	846
180	186	843
181	186	840
182	187	837
183	188	833
184	188	830
185	189	827
186	189	824
187	190	820
188	190	817
189	191	814
190	191	811
191	192	808
192	192	805
193	193	802
194	193	799
195	194	796
196	194	793
197	195	790
198	195	787
199	196	784
200	196	781
201	197	779
202	197	776
203	198	774
204	198	771
205	199	768
206	200	766
207	200	763
208	201	760
209	201	758
210	202	755
211	202	753
212	203	750
213	203	747
214	204	745
215	204	742
216	205	740
217	205	737
218	206	735
219	206	732
220	207	730
221	207	728
222	208	725
223	208	723
224	209	721
225	209	718
226	210	716
227	210	714
228	211	711
229	212	709
230	212	707
231	213	705
232	213	703
233	214	700
234	214	698
235	215	696
236	215	694
237	216	692
238	216	689
239	217	688
240	217	686
241	218	683
242	218	681
243	219	679
244	219	677
245	220	675
246	220	673
247	221	671
248	221	669
249	222	667
250	222	665
251	223	663
252	223	661
253	224	659
254	225	657
255	225	655
256	227	658
257	228	657
258	229	655
259	229	653
260	230	651
261	230	649
262	231	647
263	231	645
264	232	643
265	232	641
266	233	640
267	233	638
268	234	636
269	234	634
270	235	632
271	235	630
272	236	629
273	236	627
274	237	625
275	237	623
276	238	621
277	238	620
278	239	618
279	239	616
280	240	614
281	240	613
282	241	611
283	241	609
284	242	607
285	242	606
286	243	604
287	243	602
288	244	601
289	244	599
290	245	597
291	245	596
292	246	594
293	247	593
294	247	591
295	247	589
